Wiki URL,Country,Plant name,Plant name (local script),Unit name,Fuel,Capacity elec. (MW),Status,Technology,CHP,Start year,Retired year,Planned retire,Owner,Parent,Latitude,Longitude,Location accuracy,Region,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Other IDs (location),Other IDs (unit),Other plant names,"Captive [heat, power, both]",Captive industry type,"Captive non-industry use [heat, power, both, none]",GEM location ID,GEM unit ID
https://www.gem.wiki/CNOOC_Zhongshan_Jiaming_Gas_power_station,China,CNOOC Zhongshan Jiaming Gas power station,中海油中山嘉明电厂,2-1,NG,390,operating,CC,Y,2009,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Guanzhong Investment Co., Ltd. [22.3%]","China National Offshore Oil Corporation [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Xingzhong Group Co., Ltd. [22.3%]",22.569977,113.572525,exact,East Asia,Zhongshan,NA,NA,Guangdong,{'WRI': 'WRI1029821'},NA,Zhongshan Hengmen Power Station,NA,NA,NA,L405617,G405209
https://www.gem.wiki/CNOOC_Zhongshan_Jiaming_Gas_power_station,China,CNOOC Zhongshan Jiaming Gas power station,中海油中山嘉明电厂,2-2,NG,390,operating,CC,Y,2009,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Guanzhong Investment Co., Ltd. [22.3%]","China National Offshore Oil Corporation [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Xingzhong Group Co., Ltd. [22.3%]",22.569977,113.572525,exact,East Asia,Zhongshan,NA,NA,Guangdong,{'WRI': 'WRI1029821'},NA,Zhongshan Hengmen Power Station,NA,NA,NA,L405617,G405210
https://www.gem.wiki/CNOOC_Zhongshan_Jiaming_Gas_power_station,China,CNOOC Zhongshan Jiaming Gas power station,中海油中山嘉明电厂,3-1,NG,460,operating,CC,Y,2014,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Guanzhong Investment Co., Ltd. [22.3%]","China National Offshore Oil Corporation [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Xingzhong Group Co., Ltd. [22.3%]",22.569977,113.572525,exact,East Asia,Zhongshan,NA,NA,Guangdong,{'WRI': 'WRI1029821'},NA,Zhongshan Hengmen Power Station,NA,NA,NA,L405617,G405211
https://www.gem.wiki/CNOOC_Zhongshan_Jiaming_Gas_power_station,China,CNOOC Zhongshan Jiaming Gas power station,中海油中山嘉明电厂,3-2,NG,460,operating,CC,Y,2014,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Guanzhong Investment Co., Ltd. [22.3%]","China National Offshore Oil Corporation [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Xingzhong Group Co., Ltd. [22.3%]",22.569977,113.572525,exact,East Asia,Zhongshan,NA,NA,Guangdong,{'WRI': 'WRI1029821'},NA,Zhongshan Hengmen Power Station,NA,NA,NA,L405617,G405212
https://www.gem.wiki/CNOOC_Zhongshan_Jiaming_Gas_power_station,China,CNOOC Zhongshan Jiaming Gas power station,中海油中山嘉明电厂,3-3,NG,460,operating,CC,Y,2014,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Guanzhong Investment Co., Ltd. [22.3%]","China National Offshore Oil Corporation [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Xingzhong Group Co., Ltd. [22.3%]",22.569977,113.572525,exact,East Asia,Zhongshan,NA,NA,Guangdong,{'WRI': 'WRI1029821'},NA,Zhongshan Hengmen Power Station,NA,NA,NA,L405617,G405213
https://www.gem.wiki/CNOOC_Zhuhai_Gas_power_station,China,CNOOC Zhuhai Gas power station,中海油珠海天然气发电有限公司,1,NG,460,operating,CC,Y,2014,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [75%]; Zhuhai Special Economic Zone Power Development Group Co., Ltd. [25%]","China National Offshore Oil Corporation [75%]; Zhuhai Port Co., Ltd. [25%]",21.92294,113.220772,exact,East Asia,Zhuhai,NA,Gaolan,Guangdong,NA,NA,NA,NA,NA,NA,L405618,G405216
https://www.gem.wiki/CNOOC_Zhuhai_Gas_power_station,China,CNOOC Zhuhai Gas power station,中海油珠海天然气发电有限公司,2,NG,460,operating,CC,Y,2014,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [75%]; Zhuhai Special Economic Zone Power Development Group Co., Ltd. [25%]","China National Offshore Oil Corporation [75%]; Zhuhai Port Co., Ltd. [25%]",21.92294,113.220772,exact,East Asia,Zhuhai,NA,Gaolan,Guangdong,NA,NA,NA,NA,NA,NA,L405618,G405217
https://www.gem.wiki/CNOOC_Zhuhai_Gas_power_station,China,CNOOC Zhuhai Gas power station,中海油珠海天然气发电有限公司,3,NG,460,proposed,CC,Y,not found,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [75%]; Zhuhai Special Economic Zone Power Development Group Co., Ltd. [25%]","China National Offshore Oil Corporation [75%]; Zhuhai Port Co., Ltd. [25%]",21.92294,113.220772,exact,East Asia,Zhuhai,NA,Gaolan,Guangdong,NA,NA,NA,NA,NA,NA,L405618,G405218
https://www.gem.wiki/CNOOC_Zhuhai_Gas_power_station,China,CNOOC Zhuhai Gas power station,中海油珠海天然气发电有限公司,4,NG,460,proposed,CC,Y,not found,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [75%]; Zhuhai Special Economic Zone Power Development Group Co., Ltd. [25%]","China National Offshore Oil Corporation [75%]; Zhuhai Port Co., Ltd. [25%]",21.92294,113.220772,exact,East Asia,Zhuhai,NA,Gaolan,Guangdong,NA,NA,NA,NA,NA,NA,L405618,G405219
https://www.gem.wiki/CPIH_Chongzuo_Distributed_Gas_power_station,China,CPIH Chongzuo Distributed Gas power station,中电崇左天然气分布式能源站,1,NG,60,construction,CC,Y,not found,NA,NA,China Power International Development Limited [100%],China Power International Development Ltd. [100%],22.406471,107.433517,approximate,East Asia,Chongzuo,NA,Zhongtai Industrial Park,Guangxi,NA,NA,NA,NA,NA,NA,L405610,G405387
