Plant,Chinese Name,Capacity (MW),Status,Year,RETIRED,Planned Retire,Latitude,Longitude,Tracker ID,Annual CO2 (million tonnes / annum),"Subnational unit (province, state)",resource
GCL Suzhou Economic Zone Lantian Gas Thermal power station,协鑫苏州工业园蓝天燃气热电厂,180,operating,2005,NA,NA,31.300607,120.799921,G405551,0.23652,Jiangsu,gas
GCL Suzhou Economic Zone Lantian Gas Thermal power station,协鑫苏州工业园蓝天燃气热电厂,180,operating,2005,NA,NA,31.300607,120.799921,G405552,0.23652,Jiangsu,gas
GCL Suzhou Economic Zone North Gas Thermal power station,协鑫苏州工业园北部燃机热电厂,180,operating,2013,NA,NA,31.332014,120.655939,G405549,0.23652,Jiangsu,gas
GCL Suzhou Economic Zone North Gas Thermal power station,协鑫苏州工业园北部燃机热电厂,180,operating,2013,NA,NA,31.332014,120.655939,G405550,0.23652,Jiangsu,gas
GCL Wuxi Lantian Gas Thermal power station,协鑫无锡蓝天燃机热电厂,200,operating,2015,NA,NA,31.580909,120.417291,G405545,0.2628,Jiangsu,gas
GCL Wuxi Lantian Gas Thermal power station,协鑫无锡蓝天燃机热电厂,200,operating,2015,NA,NA,31.580909,120.417291,G405546,0.2628,Jiangsu,gas
Guangzhou Development Zone East Gas Thermal power station,广州开发区东区热电厂（广东恒运热电）,460,construction,2022,NA,NA,23.128694,113.515337,G405296,0.60444,Guangdong,gas
Guangzhou Development Zone East Gas Thermal power station,广州开发区东区热电厂（广东恒运热电）,460,construction,2023,NA,NA,23.128694,113.515337,G405297,0.60444,Guangdong,gas
Guangzhou Pearl River LNG power station,广州珠江LNG电厂,390,operating,2006,NA,NA,22.814326,113.5654,G405298,0.51246,Guangdong,gas
Guangzhou Pearl River LNG power station,广州珠江LNG电厂,390,operating,2007,NA,NA,22.814326,113.5654,G405299,0.51246,Guangdong,gas
Guangzhou Pearl River LNG power station,广州珠江LNG电厂,600,construction,2023,NA,NA,22.814326,113.5654,G405300,0.7884,Guangdong,gas
Guangzhou Pearl River LNG power station,广州珠江LNG电厂,600,construction,2023,NA,NA,22.814326,113.5654,G405301,0.7884,Guangdong,gas
Guangzhou University City Distributed Gas power station,广州大学城天然气分布式电厂,78,operating,2009,NA,NA,23.023378,113.398392,G405294,0.102492,Guangdong,gas
Guangzhou University City Distributed Gas power station,广州大学城天然气分布式电厂,78,operating,2009,NA,NA,23.023378,113.398392,G405295,0.102492,Guangdong,gas
Guodian Binhai power station,国电滨海发电厂,54,operating,2000,NA,NA,38.985802,117.654559,G405697,0.070956,Tianjin,gas
Guodian Nanxun Gas Thermal power station,国电南浔天然气热电厂,100,operating,2018,NA,NA,30.860082,120.346731,G405725,0.1314,Zhejiang,gas
Guodian Nanxun Gas Thermal power station,国电南浔天然气热电厂,100,operating,2018,NA,NA,30.860082,120.346731,G405726,0.1314,Zhejiang,gas
Guodian Zhongshan Minzhong Gas Thermal power station,国电中山民众天然气热电站,269,operating,2019,NA,NA,22.67285,113.496632,G405277,0.353466,Guangdong,gas
Guodian Zhongshan Minzhong Gas Thermal power station,国电中山民众天然气热电站,269,operating,2019,NA,NA,22.67285,113.496632,G405278,0.353466,Guangdong,gas
Guohua Yuyao Gas power station,国能浙江余姚燃气发电厂,780,operating,2007,NA,NA,30.066544,121.103506,G405756,1.02492,Zhejiang,gas
Guoxin Gaoyou Gas Thermal power station,国信高邮燃机热电厂,100,operating,2017,NA,NA,32.820208,119.477512,G405572,0.1314,Jiangsu,gas
Guoxin Gaoyou Gas Thermal power station,国信高邮燃机热电厂,100,operating,2017,NA,NA,32.820208,119.477512,G405573,0.1314,Jiangsu,gas
Guoxin Huai'an Gas Thermal power station,国信淮安燃气发电厂,180,operating,2017,NA,NA,33.463756,119.159463,G405564,0.23652,Jiangsu,gas
Guoxin Huai'an Gas Thermal power station,国信淮安燃气发电厂,180,operating,2017,NA,NA,33.463756,119.159463,G405565,0.23652,Jiangsu,gas
Guoxin Huai'an No.2 Gas Thermal power station,国信淮安第二燃气发电厂,460,operating,2017,NA,NA,33.376849,119.030217,G405566,0.60444,Jiangsu,gas
Guoxin Huai'an No.2 Gas Thermal power station,国信淮安第二燃气发电厂,460,operating,2017,NA,NA,33.376849,119.030217,G405567,0.60444,Jiangsu,gas
Guoxin Xielian Gas Thermal power station,国信协联燃气热电厂,420,operating,2015,NA,NA,31.397538,119.827095,G405562,0.55188,Jiangsu,gas
Guoxin Xielian Gas Thermal power station,国信协联燃气热电厂,420,operating,2015,NA,NA,31.397538,119.827095,G405563,0.55188,Jiangsu,gas
Guoxin Yizheng Gas Thermal power station,国信仪征燃机热电厂,100,operating,2018,NA,NA,32.301681,119.186361,G405560,0.1314,Jiangsu,gas
Guoxin Yizheng Gas Thermal power station,国信仪征燃机热电厂,100,operating,2018,NA,NA,32.301681,119.186361,G405561,0.1314,Jiangsu,gas
Hanneng Power Tunkou Gas power station,汉能电力沌口燃机电厂,176.5,operating,1996,NA,NA,30.470794,114.203538,G405473,0.231921,Hubei,gas
Hefei Airport Distributed Gas power station,中电合肥空港天然气分布式能源站,60,operating,2018,NA,NA,31.961048,117.020871,G405154,0.07884,Anhui,gas
Hefei Airport Distributed Gas power station,中电合肥空港天然气分布式能源站,60,operating,2018,NA,NA,31.961048,117.020871,G405155,0.07884,Anhui,gas
Huachen Zhangjiagang Huaxing Gas power station,华晨电力张家港华兴燃气发电厂,390,operating,2005,NA,NA,31.88699,120.595839,G405493,0.51246,Jiangsu,gas
Huachen Zhangjiagang Huaxing Gas power station,华晨电力张家港华兴燃气发电厂,390,operating,2006,NA,NA,31.88699,120.595839,G405494,0.51246,Jiangsu,gas
Huachen Zhangjiagang Huaxing Gas power station,华晨电力张家港华兴燃气发电厂,400,operating,2021,NA,NA,31.88699,120.595839,G405495,0.5256,Jiangsu,gas
Huachen Zhangjiagang Huaxing Gas power station,华晨电力张家港华兴燃气发电厂,400,operating,2021,NA,NA,31.88699,120.595839,G405496,0.5256,Jiangsu,gas
Huadian Beijing Zhengchangzhuang Thermal power station,华电北京(郑常庄)热电厂,254,operating,2008,NA,NA,39.889522,116.272586,G405170,0.333756,Beijing,gas
Huadian Beijing Zhengchangzhuang Thermal power station,华电北京(郑常庄)热电厂,254,operating,2008,NA,NA,39.889522,116.272586,G405171,0.333756,Beijing,gas
Huadian Beiran Gas Thermal power station,北京华电北燃电厂,80,operating,2018,NA,NA,39.907848,116.694629,G405172,0.10512,Beijing,gas
Huadian Beiran Gas Thermal power station,北京华电北燃电厂,74,operating,2019,NA,NA,39.907848,116.694629,G405173,0.097236,Beijing,gas
Huadian Beiran Gas Thermal power station,北京华电北燃电厂,74,operating,2020,NA,NA,39.907848,116.694629,G405174,0.097236,Beijing,gas
Huadian Hangzhou Banshan power station,杭州华电半山发电厂,390,operating,2005,NA,NA,30.361012,120.141861,G405711,0.51246,Zhejiang,gas
Huadian Hangzhou Banshan power station,杭州华电半山发电厂,390,operating,2005,NA,NA,30.361012,120.141861,G405712,0.51246,Zhejiang,gas
Huadian Hangzhou Banshan power station,杭州华电半山发电厂,390,operating,2005,NA,NA,30.361012,120.141861,G405713,0.51246,Zhejiang,gas
