Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Sponsor,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),resource,final_end_year,final_start_year
G109069,L100410,P100584,https://www.gem.wiki/Guangdong_Shaoguan_power_station,China,Guangdong,Shaoguan-1 No 05,Shaoguan-1 power station,粤电粤江发电公司韶关发电厂,NA,Guangdong Yuejiang Electricity Generation Co,Guangdong Yudean Group,50,retired,1972,2007,NA,subcritical,anth,NA,Wushi Town,Qujiang,Shaoguan,East Asia,24.689167,113.578889,exact,NA,NA,NA,NA,12618,98300,51.00%,0.3,0,0,coal,2007,1972
G109070,L100410,P100584,https://www.gem.wiki/Guangdong_Shaoguan_power_station,China,Guangdong,Shaoguan-1 No 06,Shaoguan-1 power station,粤电粤江发电公司韶关发电厂,NA,Guangdong Yuejiang Electricity Generation Co,Guangdong Yudean Group,50,retired,1973,2007,NA,subcritical,anth,NA,Wushi Town,Qujiang,Shaoguan,East Asia,24.689167,113.578889,exact,NA,NA,NA,NA,12618,98300,51.00%,0.3,0,0,coal,2007,1973
G109071,L100410,P100584,https://www.gem.wiki/Guangdong_Shaoguan_power_station,China,Guangdong,Shaoguan-1 No 08,Shaoguan-1 power station,粤电粤江发电公司韶关发电厂,韶关发电D厂,Guangdong Yuejiang Electricity Generation Co,Guangdong Yudean Group,200,retired,1985,2009,NA,subcritical,anth,NA,Wushi Town,Qujiang,Shaoguan,East Asia,24.689167,113.578889,exact,NA,NA,NA,NA,12183,98300,51.00%,1.1,0,0,coal,2009,1985
G109072,L100410,P100584,https://www.gem.wiki/Guangdong_Shaoguan_power_station,China,Guangdong,Shaoguan-1 No 09,Shaoguan-1 power station,粤电粤江发电公司韶关发电厂,韶关发电D厂,Guangdong Yuejiang Electricity Generation Co,Guangdong Yudean Group,200,retired,1990,2009,NA,subcritical,anth,NA,Wushi Town,Qujiang,Shaoguan,East Asia,24.689167,113.578889,exact,NA,NA,NA,NA,11313,98300,51.00%,1,0,0,coal,2009,1990
G109073,L101749,Q200714,https://www.gem.wiki/Shaoxing_Binhai_power_station,China,Zhejiang,Shaoxing Binhai 1,Shaoxing Binhai power station,浙能绍兴滨海热电公司一期,NA,Zhejiang Zheneng Elec Pow Co,"Zhejiang Provincial Energy Group (88%), Shaoxing Shaoneng Electric Power Investment Company (12%)",300,operating,2011,NA,NA,subcritical,bituminous,NA,"Keqiao Binhai Industrial District, Jiuqiqiu",Shaoxing,Shaoxing,East Asia,30.22652,120.717248,exact,2009-7-13,NA,NA,NA,10442,94600,51.00%,1.4,41.9,30,coal,2051,2011
G109074,L101749,Q200714,https://www.gem.wiki/Shaoxing_Binhai_power_station,China,Zhejiang,Shaoxing Binhai 2,Shaoxing Binhai power station,浙能绍兴滨海热电公司一期,NA,Zhejiang Zheneng Elec Pow Co,"Zhejiang Provincial Energy Group (88%), Shaoxing Shaoneng Electric Power Investment Company (12%)",300,operating,2011,NA,NA,subcritical,bituminous,NA,"Keqiao Binhai Industrial District, Jiuqiqiu",Shaoxing,Shaoxing,East Asia,30.22652,120.717248,exact,2009-7-13,NA,NA,NA,10442,94600,51.00%,1.4,41.9,30,coal,2051,2011
G109075,L101749,Q200714,https://www.gem.wiki/Shaoxing_Binhai_power_station,China,Zhejiang,Shaoxing Binhai 3,Shaoxing Binhai power station,浙能绍兴滨海热电公司二期,NA,Zhejiang Zheneng Elec Pow Co,"Zhejiang Provincial Energy Group (88%), Shaoxing Shaoneng Electric Power Investment Company (12%)",57,operating,2017,NA,NA,unknown,unknown,NA,"Keqiao Binhai Industrial District, Jiuqiqiu",Shaoxing,Shaoxing,East Asia,30.22652,120.717248,exact,2015 柯桥发改委308号文件,NA,NA,NA,10326,96100,51.00%,0.3,9.6,36,coal,2057,2017
G109076,L101749,Q200714,https://www.gem.wiki/Shaoxing_Binhai_power_station,China,Zhejiang,Shaoxing Binhai 4,Shaoxing Binhai power station,浙能绍兴滨海热电公司二期,NA,Zhejiang Zheneng Elec Pow Co,"Zhejiang Provincial Energy Group (88%), Shaoxing Shaoneng Electric Power Investment Company (12%)",57,operating,2017,NA,NA,unknown,unknown,NA,"Keqiao Binhai Industrial District, Jiuqiqiu",Shaoxing,Shaoxing,East Asia,30.22652,120.717248,exact,2015 柯桥发改委308号文件,NA,NA,NA,10326,96100,51.00%,0.3,9.6,36,coal,2057,2017
G109077,L101749,Q200714,https://www.gem.wiki/Shaoxing_Binhai_power_station,China,Zhejiang,Shaoxing Binhai 5,Shaoxing Binhai power station,浙能绍兴滨海热电公司二期,NA,Zhejiang Zheneng Elec Pow Co,"Zhejiang Provincial Energy Group (88%), Shaoxing Shaoneng Electric Power Investment Company (12%)",57,operating,2017,NA,NA,unknown,unknown,NA,"Keqiao Binhai Industrial District, Jiuqiqiu",Shaoxing,Shaoxing,East Asia,30.22652,120.717248,exact,2015 柯桥发改委308号文件,NA,NA,NA,10326,96100,51.00%,0.3,9.6,36,coal,2057,2017
G109078,L101749,Q200714,https://www.gem.wiki/Shaoxing_Binhai_power_station,China,Zhejiang,Shaoxing Binhai 6,Shaoxing Binhai power station,浙能绍兴滨海热电公司二期,NA,Zhejiang Zheneng Elec Pow Co,"Zhejiang Provincial Energy Group (88%), Shaoxing Shaoneng Electric Power Investment Company (12%)",57,operating,2018,NA,NA,unknown,unknown,NA,"Keqiao Binhai Industrial District, Jiuqiqiu",Shaoxing,Shaoxing,East Asia,30.22652,120.717248,exact,2015 柯桥发改委308号文件,NA,NA,NA,10326,96100,51.00%,0.3,9.9,37,coal,2058,2018
G114221,L101749,Q200714,https://www.gem.wiki/Shaoxing_Binhai_power_station,China,Zhejiang,Shaoxing Binhai 7,Shaoxing Binhai power station,浙能绍兴滨海热电公司三期,NA,Zhejiang Zheneng Elec Pow Co,"Zhejiang Provincial Energy Group (88%), Shaoxing Shaoneng Electric Power Investment Company (12%)",57,operating,2021,NA,NA,unknown,unknown,NA,"Keqiao Binhai Industrial District, Jiuqiqiu",Shaoxing,Shaoxing,East Asia,30.22652,120.717248,exact,2018-11,NA,NA,NA,10326,96100,51.00%,0.3,10.7,40,coal,2061,2021
G109099,L101516,P102056,https://gem.wiki/Shendong_Baode_power_station,China,Shanxi,Shendong Baode power station Unit 1,Shendong Baode power station,神华保德神东发电公司,NA,China Shenhua Energy Co,National Energy Investment Group,135,operating,2006,NA,NA,subcritical,unknown,NA,Xialiuzi Village,Baode,Xinzhou,East Asia,38.944312,111.10369,exact,NA,NA,NA,NA,11313,96100,51.00%,0.7,17.3,25,coal,2046,2006
G109100,L101516,P102056,https://gem.wiki/Shendong_Baode_power_station,China,Shanxi,Shendong Baode power station Unit 2,Shendong Baode power station,神华保德神东发电公司,NA,China Shenhua Energy Co,National Energy Investment Group,135,operating,2006,NA,NA,subcritical,unknown,NA,Xialiuzi Village,Baode,Xinzhou,East Asia,38.944312,111.10369,exact,NA,NA,NA,NA,11313,96100,51.00%,0.7,17.3,25,coal,2046,2006
G109103,L101517,Q200828,https://www.gem.wiki/Shendong_Hequ_power_station,China,Shanxi,Shendong Hequ power station 1,Shendong Hequ power station,神华神东电力山西河曲发电公司一期,Shenhua Hequ East power station,China Shenhua Energy Co 80%; Shanxi Aoda Electric Power Development Co (山西奥达电力发展有限公司) 20%.,"National Energy Investment Group (80%), Shanxi Aoda Electric Power Development Company (20%)",350,operating,2015,NA,NA,supercritical,wstcoal,NA,Louziying Town,Hequ,Xinzhou,East Asia,39.412492,111.244041,exact,2013-12-16,NA,NA,NA,9250,94600,51.00%,1.4,49.1,34,coal,2055,2015
G109104,L101517,Q200828,https://www.gem.wiki/Shendong_Hequ_power_station,China,Shanxi,Shendong Hequ power station 2,Shendong Hequ power station,神华神东电力山西河曲发电公司一期,Shenhua Hequ East power station,China Shenhua Energy Co 80%; Shanxi Aoda Electric Power Development Co (山西奥达电力发展有限公司) 20%.,"National Energy Investment Group (80%), Shanxi Aoda Electric Power Development Company (20%)",350,operating,2015,NA,NA,supercritical,wstcoal,NA,Louziying Town,Hequ,Xinzhou,East Asia,39.412492,111.244041,exact,2013-12-16,NA,NA,NA,9250,94600,51.00%,1.4,49.1,34,coal,2055,2015
G103406,L101210,Q200799,https://www.gem.wiki/Guodian_Wuzhong_power_station,China,Ningxia,Shenery Wuzhong power station Unit 1,Shenery Wuzhong power station,申能吴忠热电公司,NA,Shenergy Co Ltd,"Shenergy Group (95%), National Energy Investment Group (5%)",350,operating,2016,NA,NA,supercritical,unknown,NA,Jinji Town,Litong,Wuzhong,East Asia,37.937428,106.139687,exact,2012-4-28,NA,NA,NA,9250,96100,51.00%,1.5,51.3,35,coal,2056,2016
G103407,L101210,Q200799,https://www.gem.wiki/Guodian_Wuzhong_power_station,China,Ningxia,Shenery Wuzhong power station Unit 2,Shenery Wuzhong power station,申能吴忠热电公司,NA,Shenergy Co Ltd,"Shenergy Group (95%), National Energy Investment Group (5%)",350,operating,2016,NA,NA,supercritical,unknown,NA,Jinji Town,Litong,Wuzhong,East Asia,37.937428,106.139687,exact,2012-4-28,NA,NA,NA,9250,96100,51.00%,1.5,51.3,35,coal,2056,2016
G109107,L100947,P102121,https://www.gem.wiki/Shengle_Cogen_power_station,China,Inner Mongolia,Shengle Cogen Power Plant Unit 1,Shengle Cogen power station,京能内蒙古盛乐热电公司,NA,Beijing Energy Investment Holding,Beijing Energy Group,350,operating,2016,NA,NA,supercritical,unknown,NA,Shengle Town,Horinger,Hohhot,East Asia,40.563665,111.863892,exact,2015-6-30,NA,NA,NA,9250,96100,51.00%,1.5,51.3,35,coal,2056,2016
